,Africa,Asia,Europe,North America,Oceania,World
1980,1520.423,10961.66,7022.036,6885.014,367.7929,28553.11
1981,1404.17,10726.67,6586.613,6712.68,381.8314,27622.56
1982,1390.128,10985.11,6415.001,6399.671,381.1461,27372.72
1983,1379.697,11266.08,6315.765,6493.288,374.2877,27520.02
1984,1414.828,11448.44,6322.914,6832.922,392.5134,28101.64
1985,1445.484,11891.1,6441.214,6824.213,395.8543,28710.61
1986,1470.547,12058.6,6539.712,6568.81,393.3561,28775.88
1987,1458.72,12437.45,6682.323,6843.579,415.2549,29633.15
1988,1481.978,13177.81,6688.065,7112.014,432.8404,30723.84
1989,1453.287,13514.23,6719.607,7266.36,458.2598,31300.58
1990,1433.332,13208.66,6600.093,6935.183,436.4437,30505.73
1991,1456.551,13325.9,6447.098,6843.998,435.5744,30437.64
1992,1495.869,12415.96,6727.384,7043.977,434.5967,30096.41
1993,1536.467,12898.88,6363.814,7107.455,431.1775,30375.42
1994,1541.504,12943.25,6286.01,7246.82,441.495,30556.85
1995,1581.531,13285.91,6385.444,7342.681,447.2973,31155.66
1996,1589.854,13703.29,6423.462,7558.036,457.616,31901.08
1997,1585.261,13586.77,6285.483,7723.208,469.6146,31936.71
1998,1611.078,12831.87,6439.137,7982.168,489.1187,31744.99
1999,1596.389,13220.62,6337.568,8143.746,488.1927,32113.51
2000,1574.678,13554.57,6418.725,8467.548,482.6763,32858.77
2001,1605.705,13894.24,6379.96,8316.888,486.9285,33075.16
2002,1605.497,14353.11,6402.01,8456.16,511.9409,33664.16
2003,1714.53,15349.64,6543.335,8508.024,529.149,35055.65
2004,1765.402,16275.48,6717.556,8780.091,556.1032,36533.8
2005,1826.191,17106.24,6703.732,8830.772,552.798,37599.13
2006,1817.325,17887.71,6880.21,8830.082,565.3017,38627
2007,1894.293,18740.96,6825.698,8873.703,583.0017,39626.35
2008,1976.647,19749.9,6693.063,8527.341,567.1404,40375
2009,2020.489,20402.07,6122.854,7883.978,588.5535,39848.41
2010,2074.762,21583.8,6253.283,8156.365,584.3463,41631.84
2011,2096.84,22910.85,6195.518,8051.835,599.5079,42930.67
2012,2152.227,23923.69,5892.769,7835.901,624.168,43617.13
2013,2230.719,24176.61,5729.763,7938.395,599.0459,43912.3
2014,2281.912,24480.05,5579.321,7956.064,602.5138,44194.01
2015,2318.811,24796.73,5532.937,7821.832,606.3249,44322.24
2016,2373.827,25112.02,5446.499,7653.442,591.5054,44376.27
2017,2432.78,25599.84,5507.193,7644.412,598.5479,44952.1
2018,2459.527,26298.74,5521.051,7878.468,588.4684,45862.46
2019,2492.173,26706.79,5325.427,7681.548,588.489,45893.37
2020,2429.869,25851.88,4783.353,6913.393,530.3815,43452.86