Year,Russia,China,India,USA,Europe
1980,0.2168,0.2789,0.3236,0.3385,0.3071
1981,0.22,0.2831,0.3155,0.3432,0.3028
1982,0.2232,0.2871,0.3087,0.3461,0.302
1983,0.2263,0.288,0.3615,0.3534,0.3038
1984,0.2294,0.2928,0.3424,0.3649,0.3059
1985,0.2324,0.3014,0.3568,0.3658,0.308
1986,0.2327,0.3039,0.3597,0.3634,0.3126
1987,0.233,0.3022,0.3537,0.3746,0.3154
1988,0.2333,0.3056,0.363,0.3925,0.3216
1989,0.2468,0.3111,0.3634,0.3879,0.325
1990,0.2395,0.3085,0.344,0.3876,0.33
1991,0.2501,0.3151,0.3502,0.3833,0.3328
1992,0.3245,0.3271,0.3599,0.3943,0.3342
1993,0.3421,0.3391,0.3767,0.3909,0.3377
1994,0.4029,0.3433,0.3922,0.3915,0.3407
1995,0.4229,0.339,0.3928,0.399,0.3428
1996,0.483,0.339,0.3894,0.408,0.3447
1997,0.4598,0.3391,0.3975,0.4152,0.3487
1998,0.4434,0.3425,0.4025,0.4191,0.3531
1999,0.475,0.3479,0.4052,0.4228,0.3552
2000,0.5006,0.3587,0.409,0.4275,0.3562
2001,0.5073,0.3662,0.4199,0.4195,0.3553
2002,0.4891,0.3968,0.431,0.4151,0.3537
2003,0.4903,0.4051,0.4423,0.4164,0.3544
2004,0.487,0.4121,0.4538,0.4243,0.3575
2005,0.4793,0.4216,0.4655,0.4358,0.3625
2006,0.4969,0.4237,0.4782,0.443,0.366
2007,0.4917,0.4269,0.4913,0.4402,0.37
2008,0.5212,0.4269,0.5046,0.4355,0.3614
2009,0.4961,0.4263,0.5183,0.4245,0.3621
2010,0.4557,0.4283,0.5321,0.4387,0.3572
2011,0.4814,0.4311,0.5517,0.4426,0.3594
2012,0.4556,0.4169,0.5603,0.4557,0.3594
2013,0.4737,0.4235,0.5627,0.4491,0.3636
2014,0.454,0.4155,0.5713,0.4559,0.3645
2015,0.4534,0.4166,0.5713,0.4551,0.3626
2016,0.4578,0.4166,0.5713,0.4532,0.3612
2017,0.4553,0.4166,0.5713,0.4546,0.361
2018,0.464,0.4166,0.5713,0.4583,0.3589
2019,0.4656,0.4166,0.5713,0.4569,0.3578
2020,0.4656,0.4166,0.5713,0.4569,0.358
2021,0.4656,0.4166,0.5713,0.4569,0.3578